Fruit,Zones,Planting_Season,Planting_Time,Maturity_Time,Special_Instructions
Apple,"[3, 4, 5, 6, 7, 8]","Spring, Fall","March-April, September-October","2-5 years","Plant in early spring or fall; requires full sun and well-drained soil."
Apricot,"[4, 5, 6, 7, 8, 9, 10]","Spring","February-April","2-4 years","Plant in early spring; prefers full sun and well-drained soil."
Blackberry,"[4, 5, 6, 7, 8, 9, 10, 11]","Spring, Fall","March-April, October-November","1-2 years","Plant in early spring or fall; needs well-drained, fertile soil."
Blueberry,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","Spring, Fall","March-April, September-October","2-3 years","Plant in early spring; requires acidic soil (pH 4.5-5.5) and full sun."
Blood Orange,"[9, 10, 11]","Spring, Fall","March-April, September-October","2-3 years","Plant in spring or fall; needs well-drained soil and full sun."
Boysenberry,"[5, 6, 7, 8, 9, 10]","Spring","February-April","1-2 years","Plant in early spring; prefers moist, well-drained soil."
Cantaloupe,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","Spring","April-June","70-90 days","Plant after last frost; requires warm temperatures and full sun."
Cherry,"[4, 5, 6, 7, 8, 9]","Spring","February-April","3-5 years","Plant in early spring; requires well-drained soil and full sun."
Cranberry,"[2, 3, 4, 5, 6, 7]","Spring","March-May","3-4 years","Plant in early spring; thrives in acidic, wet soil."
Currant,"[3, 4, 5, 6, 7, 8]","Spring, Fall","March-April, September-October","2-3 years","Plant in early spring or fall; prefers well-drained soil and partial shade."
Dragon Fruit,"[9, 10, 11]","Spring, Summer","April-August","1-2 years","Plant in spring or summer; requires a trellis for support and warm temperatures."
Elderberry,"[3, 4, 5, 6, 7, 8, 9]","Spring, Fall","March-April, September-October","2-3 years","Plant in early spring or fall; needs well-drained, moist soil."
Fig,"[5, 6, 7, 8, 9, 10, 11]","Spring, Fall","March-April, September-October","1-2 years","Plant in early spring or fall; prefers full sun and loamy soil."
Goji Berry,"[5, 6, 7, 8, 9]","Spring","March-May","2-3 years","Plant in early spring; requires well-drained soil and full sun."
Gooseberry,"[3, 4, 5, 6, 7, 8]","Spring, Fall","March-April, September-October","2-3 years","Plant in early spring or fall; prefers moist, well-drained soil."
Grape,"[4, 5, 6, 7, 8, 9, 10]","Spring","March-May","2-3 years","Plant in early spring; requires a trellis for support and full sun."
Grapefruit,"[8, 9, 10, 11]","Spring, Fall","March-April, September-October","2-3 years","Plant in spring or fall; needs full sun and well-drained soil."
Guava,"[9, 10, 11]","Spring, Summer","April-August","2-4 years","Plant in spring or summer; prefers warm climates and well-drained soil."
Honeydew,"[4, 5, 6, 7, 8, 9, 10, 11]","Spring","April-June","80-100 days","Plant after last frost; needs warm temperatures and full sun."
Jackfruit,"[10, 11, 12]","Spring, Summer","March-August","3-5 years","Plant in spring or summer; requires tropical conditions and deep soil."
Kiwi,"[3, 4, 5, 6, 7, 8, 9]","Spring","March-May","3-5 years","Plant in early spring; needs a trellis and well-drained soil."
Lemon,"[9, 10, 11]","Spring, Fall","March-April, September-October","2-3 years","Plant in spring or fall; requires full sun and well-drained soil."
Lime,"[8, 9, 10, 11]","Spring, Fall","March-April, September-October","2-3 years","Plant in spring or fall; needs warm temperatures and full sun."
Mango,"[9, 10, 11]","Spring, Summer","April-August","3-6 years","Plant in spring or summer; requires well-drained soil and full sun."
Nectarine,"[5, 6, 7, 8, 9]","Spring","February-April","2-4 years","Plant in early spring; needs full sun and well-drained soil."
Orange,"[8, 9, 10, 11]","Spring, Fall","March-April, September-October","2-3 years","Plant in spring or fall; requires full sun and well-drained soil."
Peach,"[5, 6, 7, 8, 9]","Spring","February-April","2-4 years","Plant in early spring; prefers full sun and well-drained soil."
Pear,"[3, 4, 5, 6, 7, 8, 9, 10]","Spring, Fall","March-April, September-October","3-5 years","Plant in early spring or fall; needs full sun and moist soil."
Persimmon,"[7, 8, 9, 10]","Spring","March-May","3-5 years","Plant in early spring; requires full sun and well-drained soil."
Pineapple,"[11, 12]","Spring, Summer","April-August","2-3 years","Plant in spring or summer; requires warm temperatures and sandy soil."
Plum,"[4, 5, 6, 7, 8, 9]","Spring","February-April","3-5 years","Plant in early spring; needs full sun and well-drained soil."
Pomegranate,"[8, 9, 10, 11]","Spring","March-May","2-3 years","Plant in early spring; requires full sun and drought-resistant soil."
Prickly Pear,"[3, 4, 5, 6, 7, 8, 9, 10, 11]","Spring","March-May","3-4 years","Plant in early spring; thrives in dry, sandy soil."
Raspberry,"[3, 4, 5, 6, 7, 8, 9, 10]","Spring, Fall","March-April, September-October","1-2 years","Plant in early spring or fall; requires full sun and well-drained soil."
Strawberry,"[4, 5, 6, 7, 8, 9]","Spring, Fall","March-April, September-October","4-6 months","Plant in early spring or fall; prefers well-drained, moist soil."
Tangerine,"[8, 9, 10, 11]","Spring, Fall","March-April, September-October","2-3 years","Plant in spring or fall; needs full sun and well-drained soil."
Watermelon,"[3, 4, 5, 6, 7, 8, 9, 10, 11]","Spring","April-June","70-90 days","Plant after last frost; requires full sun and warm temperatures."
